iter	Accuracy	Logloss
0	0.5678	0.6895821583
1	0.5934	0.6847706372
2	0.604	0.6810046083
3	0.6086	0.678378376
4	0.6174	0.6745163561
5	0.6238	0.6715545531
6	0.635	0.6691747997
7	0.643	0.6657440948
8	0.647	0.6621668904
9	0.6488	0.6597055602
10	0.6514	0.657073116
11	0.649	0.6548104558
12	0.6542	0.6521110249
13	0.6564	0.6493266983
14	0.6548	0.6471666012
15	0.664	0.6446830218
16	0.6662	0.6421406385
17	0.6642	0.6404524904
18	0.6652	0.6388740134
19	0.6688	0.637289923
20	0.673	0.6351732677
21	0.6732	0.63288605
22	0.6798	0.6312960039
23	0.6812	0.6301810198
24	0.6832	0.6288980955
25	0.6872	0.6258417318
26	0.6874	0.6235996344
27	0.6926	0.6209316766
28	0.6938	0.6191163759
29	0.6958	0.6176730016
30	0.7012	0.6153260587
31	0.7012	0.613498272
32	0.704	0.6119332205
33	0.7052	0.6106400801
34	0.7078	0.6089000283
35	0.711	0.6077023921
36	0.7108	0.606075528
37	0.7104	0.6047343646
38	0.7122	0.6031332967
39	0.7128	0.602478597
40	0.7122	0.601342421
41	0.7132	0.6005632043
42	0.714	0.5997426556
43	0.7146	0.5980910762
44	0.718	0.5958932901
45	0.7202	0.5948524266
46	0.7206	0.5935015137
47	0.7222	0.5921317375
48	0.7252	0.590253659
49	0.7248	0.5891153398
50	0.727	0.5884868537
51	0.73	0.5866241906
52	0.7302	0.5855335693
53	0.7318	0.5836430735
54	0.7332	0.5823136163
55	0.734	0.5812687468
56	0.7318	0.5806541557
57	0.7342	0.5796923947
58	0.7346	0.5784061093
59	0.736	0.5774772507
60	0.738	0.5762845631
61	0.7402	0.574902877
62	0.741	0.5739918472
63	0.7408	0.573180099
64	0.7424	0.572437148
65	0.744	0.5717326133
66	0.744	0.5708885876
67	0.744	0.5697005887
68	0.745	0.5686385248
69	0.7454	0.5674454085
70	0.7476	0.5664173552
71	0.7482	0.56542561
72	0.7492	0.5636241002
73	0.751	0.5625054988
74	0.7506	0.5613795893
75	0.7516	0.5596870273
76	0.7508	0.5585083891
77	0.7542	0.556930326
78	0.755	0.5560771069
79	0.7548	0.555510751
80	0.7552	0.5550265651
81	0.757	0.5537116704
82	0.7572	0.5523895359
83	0.7586	0.5509543798
84	0.759	0.5504619953
85	0.7612	0.5491137527
86	0.7626	0.5482900978
87	0.7622	0.5473859325
88	0.762	0.546227006
89	0.7626	0.5454514617
90	0.7644	0.5438817301
91	0.765	0.5424805821
92	0.7654	0.5419954054
93	0.7684	0.540485362
94	0.7704	0.5390163731
95	0.7718	0.5379526833
96	0.7716	0.5364371769
97	0.7726	0.5349603754
98	0.7736	0.5344368633
99	0.7738	0.533247549
100	0.7722	0.5320951589
101	0.7748	0.5306461831
102	0.778	0.529088978
103	0.778	0.5274137368
104	0.7796	0.5262270866
105	0.78	0.5254572992
106	0.7812	0.5239326158
107	0.7814	0.5223396787
108	0.7814	0.5213115138
109	0.7842	0.5192840538
110	0.7854	0.5187719314
111	0.7854	0.5182439107
112	0.7858	0.5170862946
113	0.7878	0.5160488658
114	0.788	0.5150718342
115	0.7884	0.514389724
116	0.7906	0.5127477576
117	0.793	0.5116776556
118	0.7948	0.5101845981
119	0.7958	0.5088388147
120	0.7966	0.5079578143
121	0.7984	0.5061845846
122	0.798	0.5055604433
123	0.801	0.5043947552
124	0.8008	0.5033773183
125	0.8022	0.5026956434
126	0.803	0.5013413317
127	0.8034	0.5008320217
128	0.8042	0.4992633288
129	0.806	0.4979021217
130	0.8098	0.4963081712
131	0.8104	0.4953556784
132	0.8106	0.4948250582
133	0.8102	0.4942210318
134	0.8116	0.4934139157
135	0.8138	0.4922675051
136	0.813	0.491416784
137	0.813	0.4906816209
138	0.814	0.4894601912
139	0.8152	0.4879592323
140	0.816	0.4872893091
141	0.8174	0.4855778139
142	0.8188	0.4846166705
143	0.819	0.4843220651
144	0.821	0.4831024437
145	0.8214	0.4824041715
146	0.8236	0.4810706073
147	0.8274	0.4796346167
148	0.8268	0.4788125938
149	0.8268	0.4777497482
150	0.8314	0.4759842163
151	0.8326	0.474904658
152	0.8358	0.4732753909
153	0.836	0.472396125
154	0.8368	0.4716120449
155	0.8366	0.4705002136
156	0.8366	0.4699780384
157	0.8376	0.4696219336
158	0.8366	0.4692391477
